microphone,radius,theta,phi
1,0.042,69,0
2,0.042,90,32
3,0.042,111,0
4,0.042,90,328
5,0.042,32,0
6,0.042,55,45
7,0.042,90,69
8,0.042,125,45
9,0.042,148,0
10,0.042,125,315
11,0.042,90,291
12,0.042,55,315
13,0.042,21,91
14,0.042,58,90
15,0.042,121,90
16,0.042,159,89
17,0.042,69,180
18,0.042,90,212
19,0.042,111,180
20,0.042,90,148
21,0.042,32,180
22,0.042,55,225
23,0.042,90,249
24,0.042,125,225
25,0.042,148,180
26,0.042,125,135
27,0.042,90,111
28,0.042,55,135
29,0.042,21,269
30,0.042,58,270
31,0.042,122,270
32,0.042,159,271
